"","fatality","time_of_day","day_of_week","month","number_of_colliding_vehicles","heavy_vehicle_involved","accident_at_intersection","inappropriate_turning"
"108809",0,"7","1","9","4","0","1","0"
"220116",0,"7","1","3","1","0","1","0"
"12804",0,"2","5","2","2","0","0","0"
"124261",0,"20","5","8","0","0","0","0"
"326479",0,"16","4","10","2","0","1","0"
"54051",0,"6","2","12","2","0","0","0"
"217863",0,"8","5","4","2","0","1","0"
"323435",0,"10","3","10","2","0","1","0"
"92349",0,"1","6","10","4","0","1","0"
"312198",0,"8","6","10","2","0","1","0"
"305733",0,"9","3","11","2","0","0","0"
"43709",0,"15","5","12","2","0","0","0"
"312931",0,"13","5","10","2","0","1","0"
"202414",0,"17","1","4","2","0","1","0"
"203989",0,"3","5","4","2","0","1","0"
"227417",0,"13","2","3","2","0","1","0"
"372166",0,"11","0","7","2","0","1","0"
"280809",0,"17","1","12","2","0","1","0"
"238598",0,"14","5","2","2","0","1","0"
"411668",0,"16","6","5","3","0","1","0"
"149919",0,"15","0","7","2","0","1","0"
"167144",0,"17","1","6","2","0","1","0"
"407719",0,"1","6","5","2","0","1","1"
"52604",0,"9","4","12","3","0","1","0"
"201998",0,"14","2","4","1","0","0","0"
"198471",0,"15","2","5","2","0","1","0"
"476613",0,"6","4","1","2","0","1","0"
"289395",0,"8","1","12","2","0","1","0"
"436197",0,"9","0","4","2","0","1","0"
"45248",0,"21","2","12","2","0","0","0"
"373216",0,"5","6","7","2","0","1","0"
"247945",0,"16","1","2","2","1","1","0"
"127775",0,"0","6","8","2","0","0","0"
"242850",0,"10","4","2","2","0","0","0"
"377246",0,"16","6","7","2","0","1","0"
"204324",0,"20","5","4","2","0","1","0"
"230382",0,"16","4","3","2","0","1","0"
"207845",0,"18","0","4","2","0","1","0"
"195501",0,"14","6","5","2","0","0","0"
"157611",0,"15","2","7","2","0","0","0"
"366969",0,"18","2","7","2","0","1","0"
"16977",0,"17","4","2","3","0","0","0"
"219111",0,"13","3","3","1","0","1","0"
"369561",0,"19","5","7","2","0","1","0"
"108130",0,"6","2","9","4","0","0","0"
"58084",0,"14","3","12","2","0","0","0"
"365155",0,"2","5","8","2","0","1","0"
"331038",0,"19","4","9","2","0","0","0"
"340297",0,"15","3","9","2","0","1","0"
"37290",0,"14","2","1","2","0","1","0"
"406825",0,"8","1","5","1","0","1","0"
"284730",0,"10","2","12","2","0","1","0"
"188620",0,"18","3","5","1","0","1","0"
"230828",0,"4","4","3","2","0","0","0"
"382006",0,"1","5","7","1","0","1","0"
"336487",0,"11","2","9","2","0","1","0"
"247912",0,"13","1","2","2","0","1","0"
"120624",0,"0","3","9","2","0","1","0"
"383116",0,"15","3","7","2","0","1","0"
"313425",0,"21","4","10","3","0","0","0"
"368400",0,"14","0","7","1","0","1","0"
"278695",0,"1","4","12","1","0","1","0"
"241110",0,"11","0","2","2","1","1","0"
"172952",0,"21","6","6","2","0","1","0"
"471558",0,"9","1","2","2","0","1","0"
"260376",0,"22","2","1","2","0","1","0"
"89466",0,"12","3","10","2","0","0","0"
"60491",0,"14","6","12","1","0","0","0"
"3736",0,"4","6","3","2","0","1","0"
"258559",0,"20","4","1","2","0","0","0"
"120089",0,"15","4","9","2","0","1","0"
"263983",0,"8","3","1","2","0","1","0"
"447585",0,"19","0","3","2","0","0","0"
"274709",0,"17","3","12","2","0","1","0"
"409091",0,"20","4","5","1","0","1","0"
"425966",0,"14","4","4","2","0","1","0"
"431071",0,"7","3","4","2","0","1","0"
"234008",0,"18","5","3","2","1","1","0"
"152184",0,"9","4","7","2","0","1","0"
"478414",0,"14","1","1","2","0","1","0"
"161156",0,"16","3","6","2","0","1","0"
"201668",0,"17","3","4","1","0","0","0"
"235377",0,"3","3","3","2","0","1","0"
"140092",0,"20","1","8","2","0","1","0"
"175030",0,"13","2","6","2","0","1","0"
"191282",0,"15","6","5","3","0","1","0"
"129156",0,"20","4","8","2","0","0","0"
"22528",0,"14","1","2","2","0","1","0"
"234190",0,"9","5","3","2","0","1","0"
"95469",0,"19","1","10","1","0","1","0"
"194477",0,"22","1","5","2","0","1","0"
"308200",0,"21","5","10","2","0","1","0"
"175681",0,"15","1","6","2","0","1","0"
"88353",0,"10","5","10","2","0","0","0"
"17586",0,"11","3","2","2","0","0","0"
"103300",0,"14","2","9","2","0","0","0"
"418135",0,"11","3","5","3","0","1","0"
"275495",0,"8","2","12","3","0","1","0"
"6371",0,"17","2","3","2","0","1","0"
"133983",0,"18","3","8","0","0","1","0"
"169364",0,"16","5","6","2","0","0","0"
"464141",0,"7","0","2","2","0","1","0"
"72323",0,"15","1","11","2","0","1","0"
"256016",0,"16","2","1","2","0","1","0"
"120173",0,"17","4","9","2","0","0","0"
"335391",0,"11","4","9","2","0","1","0"
"392626",0,"9","3","6","2","0","1","0"
"173168",0,"21","5","6","2","0","0","0"
"351259",0,"0","6","8","2","0","1","0"
"446904",0,"19","1","3","2","0","1","0"
"379967",0,"19","2","7","2","0","1","0"
"15493",0,"15","6","2","2","0","0","0"
"63884",0,"19","1","11","1","0","1","0"
"269636",0,"13","0","1","3","0","1","0"
"458779",0,"18","2","2","2","1","1","0"
"218622",0,"0","3","3","2","0","1","0"
"388562",0,"6","2","6","2","0","1","0"
"426039",0,"12","4","4","2","0","1","0"
"53911",0,"10","2","12","1","0","0","0"
"211991",0,"15","0","4","1","0","1","0"
"105130",0,"15","0","9","1","0","1","0"
"172484",0,"8","0","6","2","0","0","0"
"112745",0,"17","2","9","0","0","0","0"
"158871",0,"20","0","7","2","0","0","0"
"476132",0,"4","5","1","1","1","1","0"
"435184",0,"7","2","4","1","0","1","0"
"402809",0,"9","0","6","2","0","1","0"
"460521",0,"17","0","2","2","0","1","0"
"206655",0,"15","1","4","2","0","0","0"
"27116",0,"0","0","1","1","0","0","0"
"203488",0,"16","6","4","2","0","1","0"
"251407",0,"8","2","2","2","0","1","0"
"29271",0,"21","3","1","2","0","0","0"
"420403",0,"11","0","5","2","0","1","0"
"96629",0,"13","6","10","2","0","0","0"
"244728",0,"12","1","2","2","0","1","0"
"82557",0,"4","0","10","2","0","1","0"
"222582",0,"22","4","3","3","0","0","0"
"423486",0,"8","2","4","2","0","1","0"
"233962",0,"15","5","3","2","0","1","0"
"403924",0,"21","5","5","2","0","1","0"
"76147",0,"16","3","11","1","0","0","1"
"409784",0,"19","2","5","2","0","1","0"
"470280",0,"9","3","2","2","0","1","0"
"305647",0,"19","3","11","2","0","1","0"
"162602",0,"17","1","6","2","0","0","0"
"34797",0,"16","0","1","2","0","1","0"
"34302",0,"12","1","1","2","0","0","0"
"315854",0,"9","0","10","2","0","0","0"
"203909",0,"18","5","4","2","0","1","0"
"233330",0,"20","0","3","2","0","1","0"
"272938",0,"16","0","12","2","0","1","0"
"37879",0,"19","1","1","2","0","0","0"
"430564",0,"11","4","4","2","0","1","0"
"292410",0,"14","3","11","3","0","0","0"
"316222",0,"11","0","10","2","0","1","0"
"283125",0,"8","4","12","2","0","1","0"
"200605",0,"22","5","4","2","0","0","0"
"24665",0,"11","4","2","1","0","0","0"
"331834",0,"12","3","9","2","0","1","0"
"419568",0,"11","1","5","2","0","1","0"
"242750",0,"12","4","2","2","0","1","0"
"460532",0,"21","0","2","1","1","0","0"
"203476",0,"13","6","4","1","0","1","0"
"246616",0,"5","4","2","1","0","1","0"
"376308",0,"21","1","7","2","1","1","0"
"9861",0,"9","3","3","2","0","1","0"
"294465",0,"9","0","11","2","0","1","0"
"213445",0,"18","5","4","3","0","1","0"
"198334",0,"12","2","5","2","0","0","0"
"48333",0,"17","3","12","2","0","1","0"
"11639",0,"8","0","2","2","0","0","0"
"28382",0,"12","4","1","2","0","0","0"
"30418",0,"9","1","1","2","0","1","0"
"379268",0,"17","3","7","2","0","1","0"
"283769",0,"2","3","12","2","0","1","0"
"368833",0,"4","6","7","1","0","1","0"
"306205",0,"22","2","11","4","0","0","0"
"166565",0,"10","2","6","2","0","1","0"
"305636",0,"18","3","11","2","0","1","0"
"340623",0,"4","3","9","2","0","0","0"
"388690",0,"17","2","6","2","0","1","0"
"162209",0,"20","2","6","2","0","1","0"
"96761",0,"23","6","10","1","0","0","0"
"350037",0,"17","1","8","2","0","1","0"
"41081",0,"20","3","1","2","0","0","0"
"458143",0,"19","4","2","2","0","1","0"
"167224",0,"10","1","6","2","0","0","0"
"272852",0,"12","0","12","2","0","0","0"
"99399",0,"20","2","10","2","0","1","1"
"71417",0,"8","3","11","2","0","0","0"
"255170",0,"1","3","1","2","0","1","0"
"322907",0,"19","3","10","2","0","1","0"
"256051",0,"18","2","1","2","0","1","0"
"300792",0,"16","4","11","2","0","1","0"
"43890",0,"17","5","12","1","0","1","0"
"104984",0,"16","0","9","2","0","1","0"
"41419",0,"14","3","1","2","0","1","0"
"209025",0,"5","5","4","2","0","1","0"
"367438",0,"12","2","7","2","0","1","0"
"283970",0,"19","3","12","1","0","1","0"
"290932",0,"4","6","11","2","0","1","0"
"229435",0,"3","6","3","2","0","1","0"
"35671",0,"10","5","1","1","0","1","0"
"214069",0,"16","4","4","3","0","1","0"
"151185",0,"15","5","7","2","0","0","0"
"269263",0,"12","1","1","1","0","1","0"
"326949",0,"22","4","10","2","0","1","0"
"155597",0,"0","5","7","2","0","1","0"
"25232",0,"21","3","2","2","0","1","0"
"454339",0,"7","3","3","2","0","1","0"
"28736",0,"17","4","1","2","0","1","1"
"468900",0,"19","5","2","2","0","1","0"
"358522",0,"19","2","8","2","0","0","0"
"429276",0,"6","6","4","1","0","0","0"
"425879",0,"8","4","4","2","0","1","0"
"194607",0,"7","1","5","1","0","0","0"
"154328",0,"17","1","7","2","0","0","0"
"430114",0,"16","4","4","2","0","1","0"
"139433",0,"21","2","8","2","0","1","0"
"320653",0,"19","0","10","1","0","1","0"
"70607",0,"8","4","11","2","0","1","0"
"435308",0,"9","2","4","2","0","1","0"
"200447",0,"11","5","4","2","0","0","0"
"465587",0,"10","4","2","1","0","1","0"
"54449",0,"18","1","12","2","0","0","0"
"84126",0,"15","4","10","1","0","1","0"
"321187",0,"8","6","10","2","0","0","0"
"433263",0,"15","6","4","2","0","1","0"
"32100",0,"3","5","1","2","0","0","0"
"327694",0,"14","3","10","1","0","0","0"
"186303",0,"18","6","5","2","0","0","0"
"85081",0,"23","3","10","2","0","0","0"
"328217",0,"18","2","9","2","0","0","0"
"13090",0,"18","4","2","2","0","1","1"
"371303",0,"23","2","7","2","0","1","0"
"422916",0,"9","2","4","2","0","1","0"
"326075",0,"15","5","10","2","0","1","0"
"28551",0,"7","4","1","2","0","0","1"
"325466",0,"23","6","10","4","0","1","0"
"254079",0,"21","5","1","3","0","1","0"
"265977",0,"15","6","1","1","0","1","0"
"79272",0,"2","4","11","1","0","0","0"
"4838",0,"16","4","3","1","0","0","0"
"390801",0,"15","6","6","1","0","1","0"
"245998",0,"9","5","2","2","0","1","0"
"29660",0,"9","2","1","2","0","1","0"
"320447",0,"16","0","10","2","0","1","0"
"424819",0,"18","6","4","2","0","0","0"
"176223",0,"5","1","6","1","0","0","0"
"235760",0,"12","3","3","2","0","1","0"
"472544",0,"5","6","2","5","0","1","0"
"131928",0,"2","0","8","1","0","0","0"
"285704",0,"10","0","12","2","1","1","0"
"61014",0,"16","5","12","1","0","0","0"
"68467",0,"14","0","11","2","0","0","0"
"87605",0,"18","6","10","2","0","0","0"
"19542",0,"16","0","2","1","0","1","0"
"253307",0,"11","6","1","1","0","1","0"
"237001",0,"12","1","3","2","0","1","0"
"157810",0,"8","2","7","2","0","1","0"
"402146",0,"9","1","6","2","0","1","0"
"396806",0,"23","2","6","3","0","1","0"
"306988",0,"7","1","11","2","0","1","0"
"278971",0,"6","4","12","2","0","1","1"
"190122",0,"13","0","5","2","0","1","0"
"440747",0,"13","5","3","2","0","1","0"
"390",0,"8","5","3","1","0","0","0"
"149466",0,"7","1","7","3","0","1","0"
"87963",0,"16","5","10","2","0","1","0"
"178579",0,"23","4","6","2","0","0","0"
"215373",0,"17","2","4","2","0","1","0"
"38569",0,"12","0","1","1","0","1","0"
"463346",0,"17","2","2","2","1","0","0"
"125283",0,"13","3","8","2","0","1","0"
"252884",0,"12","0","2","1","0","1","0"
"213872",0,"13","4","4","2","0","0","0"
"36586",0,"16","3","1","3","0","0","0"
"373354",0,"2","6","7","2","0","1","0"
"131605",0,"10","0","8","2","0","1","0"
"245791",0,"13","5","2","2","0","1","1"
"267635",0,"8","3","1","2","0","0","0"
"419224",0,"16","2","5","2","1","1","0"
"433481",0,"16","5","4","2","0","1","0"
"54115",0,"18","2","12","3","0","1","0"
"194264",0,"8","1","5","2","0","0","0"
"12873",0,"12","4","2","1","0","1","0"
"465603",0,"16","4","2","2","0","0","0"
"440831",0,"5","5","3","1","0","1","0"
"126711",0,"17","1","8","2","0","0","0"
"182943",0,"9","4","5","2","0","0","0"
"363365",0,"7","1","8","2","0","1","0"
"432239",0,"9","1","4","2","0","0","0"
"142192",0,"12","4","7","2","0","1","0"
"35969",0,"12","4","1","2","0","1","1"
"63395",0,"3","2","11","2","0","1","0"
"458576",0,"4","3","2","2","1","0","0"
"246532",0,"10","4","2","2","0","1","0"
"459223",0,"13","2","2","2","0","1","0"
"293748",0,"9","1","11","2","0","1","0"
"285879",0,"17","0","12","2","0","1","0"
"282160",0,"20","6","12","2","0","1","1"
"376110",0,"14","1","7","2","0","1","0"
"34115",0,"17","1","1","2","0","0","0"
"209114",0,"17","5","4","1","0","1","0"
"91289",0,"19","1","10","2","0","1","0"
"143653",0,"13","2","7","2","0","0","0"
"273142",0,"15","0","12","2","0","1","0"
"106257",0,"11","5","9","2","0","1","0"
"336049",0,"2","3","9","2","0","1","0"
"15511",0,"18","6","2","2","0","1","0"
"371936",0,"14","1","7","2","0","1","0"
"305660",0,"8","3","11","2","0","1","0"
"323284",0,"11","3","10","2","0","1","0"
"183107",0,"14","4","5","2","0","0","0"
"284193",0,"17","3","12","2","0","1","0"
"278254",0,"2","5","12","2","0","0","0"
"84876",0,"13","3","10","2","0","1","0"
"456492",0,"14","6","3","2","0","1","0"
"353862",0,"20","2","8","2","1","1","0"
"119675",0,"9","5","9","2","0","0","0"
"33984",0,"13","1","1","2","0","1","0"
"87544",0,"15","6","10","2","0","0","0"
"467491",0,"10","1","2","2","0","1","0"
"196684",0,"16","4","5","2","0","1","0"
"425389",0,"11","5","4","2","0","1","0"
"55603",0,"16","0","12","1","0","0","0"
"261904",0,"14","6","1","2","0","1","0"
"234434",0,"4","5","3","2","0","1","0"
"44548",0,"11","4","12","1","0","1","0"
"344980",0,"8","3","9","2","0","1","0"
"390378",0,"11","6","6","2","0","1","0"
"458632",0,"9","3","2","2","0","1","0"
"469789",0,"11","3","2","2","1","1","0"
"75688",0,"11","3","11","2","0","1","0"
"175868",0,"14","1","6","1","0","1","0"
"343313",0,"14","5","9","2","0","1","0"
"371213",0,"18","2","7","2","0","1","0"
"151604",0,"11","4","7","2","0","1","0"
"356474",0,"13","5","8","3","0","1","1"
"465395",0,"16","4","2","2","0","0","0"
"24368",0,"15","5","2","2","0","1","0"
"328084",0,"10","2","9","2","0","1","0"
"346825",0,"7","0","8","2","0","0","0"
"126492",0,"20","1","8","2","0","0","0"
"275041",0,"12","3","12","2","0","0","0"
"69981",0,"9","5","11","2","0","1","0"
"68296",0,"13","0","11","1","0","0","0"
"93574",0,"20","4","10","2","0","0","0"
"39306",0,"17","6","1","1","0","0","0"
"37229",0,"4","2","1","2","0","1","1"
"297849",0,"20","2","11","2","0","0","0"
"476228",0,"9","5","1","1","0","1","0"
"328985",0,"20","1","9","2","0","1","0"
"377855",0,"0","5","7","3","0","1","0"
"381273",0,"9","0","7","2","0","1","0"
"7909",0,"15","6","3","2","0","0","0"
"289559",0,"16","1","12","2","1","1","0"
"22058",0,"16","2","2","2","0","0","0"
"330205",0,"14","5","9","2","0","1","0"
"331850",0,"15","3","9","3","0","1","0"
"215449",0,"16","1","4","1","0","1","0"
"102127",0,"13","4","9","2","0","0","0"
"14726",0,"14","1","2","2","0","0","0"
"50168",0,"8","1","12","2","0","1","0"
"24399",0,"21","5","2","2","0","1","0"
"48105",0,"4","4","12","2","0","0","0"
"432519",0,"9","0","4","1","0","1","0"
"257927",0,"9","6","1","2","0","0","0"
"415334",0,"15","1","5","2","0","1","0"
"450966",0,"6","1","3","2","0","0","1"
"461535",0,"16","5","2","2","0","1","0"
"459890",0,"13","1","2","2","0","1","0"
"339285",0,"16","5","9","2","0","1","0"
"43502",0,"2","6","1","2","0","1","0"
"424090",0,"19","1","4","2","1","1","0"
"238149",0,"23","6","2","2","0","1","0"
"151632",0,"19","4","7","2","0","1","0"
"231256",0,"9","3","3","2","0","0","0"
"394856",0,"18","6","6","2","0","1","0"
"91337",0,"12","0","10","2","0","1","0"
"327456",0,"16","3","10","2","0","1","0"
"248751",0,"0","0","2","1","0","0","0"
"165935",0,"11","3","6","2","0","1","0"
"348822",0,"11","3","8","2","0","1","0"
"317015",0,"13","5","10","2","0","1","0"
"145095",0,"14","0","7","2","0","0","0"
"304772",0,"18","4","11","2","0","1","0"
"8484",0,"8","5","3","2","0","0","0"
"360171",0,"7","6","8","2","0","1","0"
"51739",0,"2","5","12","1","0","0","0"
"44620",0,"15","3","12","1","0","0","0"
"39618",0,"11","5","1","4","0","0","0"
"96803",0,"23","6","10","1","0","1","0"
"433763",0,"20","5","4","1","1","1","0"
"202974",0,"8","0","4","2","0","0","0"
"470011",0,"22","3","2","2","0","1","1"
"410011",0,"15","2","5","2","0","1","0"
"344954",0,"12","3","9","2","0","1","0"
"84113",0,"14","4","10","2","0","1","0"
"317731",0,"14","4","10","2","1","1","0"
"377082",0,"22","0","7","2","0","1","0"
"207073",0,"21","1","4","2","0","0","0"
"110427",0,"10","5","9","3","0","1","0"
"293997",0,"12","0","11","2","0","0","0"
"105207",0,"17","6","9","3","0","0","0"
"206433",0,"1","2","4","2","0","0","0"
"51890",0,"4","5","12","2","0","0","0"
"197720",0,"18","3","5","2","0","0","0"
"75834",0,"21","3","11","2","0","0","0"
"245905",0,"15","5","2","2","0","1","0"
"185467",0,"12","1","5","2","0","0","0"
"28005",0,"23","5","1","1","0","1","0"
"71917",0,"23","2","11","2","0","0","0"
"367434",0,"11","2","7","1","0","1","0"
"273782",0,"14","5","12","2","0","1","0"
"433337",0,"13","6","4","1","0","0","0"
"353533",0,"11","3","8","2","0","1","0"
"456364",0,"17","6","3","3","0","1","0"
"173238",0,"11","5","6","1","0","0","0"
"37531",0,"14","2","1","2","0","0","0"
"457107",0,"13","5","2","2","0","1","0"
"349178",0,"7","3","8","2","0","1","0"
"150082",0,"3","0","7","3","0","0","0"
"195269",0,"13","0","5","2","0","0","0"
"70141",0,"14","4","11","1","0","0","0"
"414222",0,"7","2","5","2","0","1","0"
"46663",0,"15","6","12","2","0","1","0"
"319494",0,"12","2","10","2","0","1","0"
"258116",0,"13","6","1","2","0","1","0"
"416591",0,"11","6","5","2","0","1","0"
"270888",0,"18","4","1","1","0","0","0"
"174971",0,"0","2","6","2","0","0","0"
"265304",0,"16","0","1","2","0","1","0"
"430009",0,"5","5","4","1","0","0","0"
"123473",0,"1","6","8","2","0","1","0"
"377888",0,"10","5","7","2","0","1","0"
"132492",0,"0","6","8","2","0","0","0"
"422798",0,"13","3","4","1","0","0","0"
"363252",0,"6","1","8","2","0","1","0"
"156238",0,"16","4","7","1","0","0","0"
"369110",0,"22","6","7","2","0","0","0"
"200481",0,"13","5","4","2","0","1","0"
"192788",0,"19","3","5","1","0","1","0"
"165642",0,"20","4","6","2","0","0","0"
"321830",0,"23","5","10","2","0","1","0"
"311447",0,"16","0","10","2","1","1","0"
"472711",0,"10","5","1","2","0","1","0"
"3376",0,"9","0","3","2","0","0","0"
"184765",0,"20","2","5","2","0","1","0"
"287982",0,"21","4","12","2","0","1","0"
"52193",0,"8","5","12","2","0","0","0"
"291342",0,"17","5","11","1","0","1","0"
"311146",0,"21","1","10","3","0","0","0"
"65044",0,"10","6","11","1","0","0","0"
"44971",0,"14","3","12","2","0","1","0"
"467465",0,"20","1","2","2","1","1","0"
"244670",0,"3","1","2","3","0","1","0"
"169809",0,"23","4","6","2","0","1","0"
"460152",0,"12","0","2","2","0","1","0"
